Algorithm,Language,GPT,avg_cpu_mean,avg_cpu_sd,avg_cpu_cv,avg_cpu_range,avg_mem_mean,avg_mem_sd,avg_mem_cv,avg_mem_range,run_time.s._mean,run_time.s._sd,run_time.s._cv,run_time.s._range,total_energy.J._mean,total_energy.J._sd,total_energy.J._cv,total_energy.J._range,average_power.W._mean,average_power.W._sd,average_power.W._cv,average_power.W._range
nbody,c,False,32.618066666666664,1.9009707852665123,0.05827968912728874,10.739,3.5063,0.022237200890585982,0.006342070242302707,0.1280000000000001,45.512222996666665,0.5105560745991075,0.011217999055693255,2.0585424000000003,166.22198266666666,5.582221566965623,0.03358293215741467,23.17010000000002,3.6520174136666665,0.10602487349626212,0.029031864168964066,0.4122140999999999
nbody,c,True,10.75,8.261032330914448,0.7684681238059952,31.1,3.5072666666666668,0.0026120850877694147,7.447637536646053e-4,0.013000000000000345,2.507241066333333,0.19683832458254974,0.07850793736017263,0.6656393999999999,8.918545,0.5761644641685998,0.0646029665341824,1.9850500000000002,3.56118526,0.07651177098397001,0.021484917351356783,0.28894967000000005
pidigits,c,False,8.43,1.626536408954676,0.19294619323305767,7.1,3.6257,0.004227577769018937,0.001166003190837338,0.016000000000000014,2.4344605684333334,0.16739438800022718,0.06876036119490395,0.5380992890000003,8.717351566666666,0.47012711198712787,0.05393003923173133,1.7023640000000002,3.5840399878666664,0.06793189417590764,0.01895400006860494,0.2663269920000002
pidigits,c,True,8.843333333333334,4.178242769834966,0.4724737395214812,20.8,3.6265666666666667,0.0033803012856265875,9.320940703217702e-4,0.01599999999999957,2.3859627167,0.1621280539676788,0.06795079102992707,0.5679140089999999,8.602153066666666,0.4855662406584377,0.05644705888110807,1.7648499999999991,3.605090656233333,0.0560671163825616,0.015552207067419931,0.22829691500000004
pidigits,cpp,False,8.643333333333333,1.8748210642588015,0.21690949451509467,8.1,3.6250333333333336,0.00422213651858969,0.0011647166054352667,0.016999999999999904,2.3735511939,0.16994232740460824,0.07159834084950774,0.5551102160000001,8.549336233333333,0.5149615353046171,0.060234095519230355,1.6964999999999995,3.605142478,0.05950235264203819,0.01650485466389886,0.237746295
pidigits,cpp,True,10.19,7.267943312932484,0.7132427196204597,29.700000000000003,3.6265666666666667,0.004553765651545474,0.001255668534484997,0.02499999999999991,2.3902389447333334,0.16540813050023684,0.06920150425324552,0.48159027099999996,8.590319566666667,0.49775641926110137,0.05794387687188774,1.396656000000001,3.5968720128666667,0.058243231143100434,0.01619274495582656,0.25839833700000003
pidigits,js,False,32.99666666666666,0.8027896762962362,0.0243294174046743,4.100000000000001,3.6854666666666667,0.02848923975133757,0.007730158031005817,0.20099999999999962,2.4064384620333334,0.16814351621599802,0.06987235238665701,0.5637159339999998,8.8177258,0.5246782294620922,0.05950267011728718,1.8785059999999998,3.6654245855,0.055844176723517734,0.015235390995201731,0.2051609339999998
pidigits,js,True,32.93666666666667,1.0499534746123627,0.03187795186557118,5.800000000000001,3.682533333333333,0.014041154617356291,0.0038129063192067847,0.09200000000000008,2.430397097266667,0.15297454356984588,0.06294220139658983,0.43128109000000014,8.9071484,0.4588090272875245,0.05151020356722972,1.620680000000002,3.6678042767,0.07101606385497691,0.019362010210335307,0.23463272999999996
pidigits,py,False,33.29333333333334,1.4954951511544385,0.04491875704308485,6.699999999999999,3.6699,0.014341523989619355,0.003907878685964019,0.06300000000000017,2.437614981333333,0.15209430886961567,0.06239472190412233,0.4352629189999999,8.9925789,0.42562024918370195,0.04733016567513263,1.398515999999999,3.6942194689666668,0.07114642905234941,0.01925885282399051,0.2577246089999998
pidigits,py,True,32.95,1.0288091542468258,0.031223343072741296,5.400000000000002,3.6773,0.009112893480459874,0.002478147956506098,0.039000000000000146,2.4253879467666666,0.1835951457461552,0.07569722855715086,0.6210548879999997,8.9799714,0.5311572699043554,0.05914910485175436,2.042624,3.7107472525,0.07301631870610581,0.019676985183217033,0.32301562399999995
regexredux,cpp,False,9.14,2.231993078718721,0.24420055565850338,9.7,3.6326,0.003811054700609071,0.0010491258879615347,0.01499999999999968,2.3909328698666665,0.17666575444998975,0.07388988485479384,0.5898120410000001,8.625207533333333,0.5550965155610164,0.06435746773811152,1.8904470000000018,3.6178910567,0.06523102135457168,0.018030123166304264,0.21020768599999995
regexredux,cpp,True,14.38,4.124894982989222,0.28684944248881933,24.5,3.633766666666667,0.0035397577681913327,9.741290767682751e-4,0.016999999999999904,2.3753023228333334,0.17510138693524815,0.07371751597766378,0.5148489479999996,8.597667366666666,0.535525380881338,0.062287287707545075,1.5761730000000007,3.6259547524,0.07342521748978151,0.020249898993136013,0.28497191200000005
regexredux,java,False,33.36833333333333,5.286457704122039,0.1584273823721704,33.25,3.715133333333333,0.027267175331792494,0.007339487680601637,0.14500000000000002,2.5351916154,0.4395488758794062,0.17337895613466464,1.843220234,9.614420366666668,1.6412069759612153,0.17070264387973957,7.238683,3.7907276494666666,0.07223250037889897,0.019055048808125707,0.274330328
regexredux,java,True,33.76,4.8914140117641605,0.14488785579870145,28.1,3.7131333333333334,0.01848155340040315,0.004977347092411571,0.10299999999999976,2.3896847327,0.14201347337157486,0.05942770250330053,0.45313906699999995,8.833802500000001,0.4340751289613476,0.04913797076189416,1.4687020000000004,3.7015168347333334,0.056242565582120915,0.015194464348876256,0.21324598700000008
