__run_id,__done,Algorithm,Language,GPT,Repetitions,avg_cpu,avg_mem,avg_disk_io,run_time(s),total_energy(J),monsoon_run_time(s),average_power(W)
run_1480,DONE,binarytrees,java,True,11,40.098,7.49,0,75.09481001,297.900165,75.07534552,3.968015898
run_1481,DONE,binarytrees,java,True,12,40.357,7.507,0,74.75318289,296.86707,74.74318147,3.971828121
run_1482,DONE,binarytrees,java,True,13,40.304,7.451,0,75.06379795,298.30789200000004,75.04759645,3.974916004
run_1483,DONE,binarytrees,java,True,14,40.769,7.503,0,75.16452312,298.373169,75.1704843,3.969286239
run_1484,DONE,binarytrees,java,True,15,40.806,7.577,0,74.92863512,296.776791,74.91446209,3.961542045
run_1485,DONE,binarytrees,java,True,16,41.251,7.526,0,74.96542096,297.736492,74.97012639,3.971401756
run_1486,DONE,binarytrees,java,True,17,39.885,7.538,0,76.41809487,303.324327,76.42674756,3.968824228
run_1487,DONE,binarytrees,java,True,18,42.244,7.499,0,73.34467483,291.100195,73.34480333,3.968927336
run_1488,DONE,binarytrees,java,True,19,41.808,7.503,0,74.66901803,295.703538,74.67270947,3.959994754
run_1489,DONE,binarytrees,java,True,20,39.504,7.504,0,75.02959394,297.45068499999996,75.04417562,3.963674495
run_1490,DONE,binarytrees,java,True,21,38.477,7.455,0,78.07961297,309.479685,78.06966329,3.964147811
run_1491,DONE,binarytrees,java,True,22,38.719,7.448,0,86.25588417,339.539817,86.27280712,3.935652824
run_1492,DONE,binarytrees,java,True,23,40.918,7.474,0,75.29492903,297.20094600000004,75.29702306,3.947047764
run_1493,DONE,binarytrees,java,True,24,40.68,7.503,0,74.70055294,295.95905799999997,74.69503975,3.962231749
run_1494,DONE,binarytrees,java,True,25,39.2,7.487,0,76.63619709,302.829983,76.65690613,3.950459244
run_1495,DONE,binarytrees,java,True,26,40.149,7.46,0,75.34896803,299.725122,75.34420872,3.978077779
run_1496,DONE,binarytrees,java,True,27,41.745,7.536,0,75.13352394,298.805219,75.15603733,3.975797944
run_1497,DONE,binarytrees,java,True,28,40.078,7.553,0,75.12525487,297.765914,75.11230683,3.964275986
run_1498,DONE,binarytrees,java,True,29,40.441,7.518,0,75.31162596,299.283299,75.32904363,3.973013389
run_1499,DONE,binarytrees,java,True,30,40.831,7.492,0,75.05172515,297.712423,75.07350254,3.965612532
